12:17:33.917  192.168.1.98:自动分配端口失败, ret = -1
12:37:34.977  192.168.1.98:自动分配端口失败, ret = -1
12:49:33.216  192.168.1.98:自动分配端口失败, ret = -1
13:03:28.371  192.168.1.98:自动分配端口失败, ret = -1
16:57:30.300  192.168.1.98:自动分配端口失败, ret = -1
17:25:20.400  192.168.1.98:自动分配端口失败, ret = -1
17:39:08.877  192.168.1.98:自动分配端口失败, ret = -1
17:56:18.389  192.168.1.98:自动分配端口失败, ret = -1
18:45:22.475  192.168.1.98:自动分配端口失败, ret = -1
18:46:36.728  192.168.1.98:自动分配端口失败, ret = -1
18:47:02.289  192.168.1.98:自动分配端口失败, ret = -1
18:53:40.025  192.168.1.98:自动分配端口失败, ret = -1
19:04:02.799  192.168.1.98:自动分配端口失败, ret = -1
20:26:58.179  192.168.1.98:自动分配端口失败, ret = -1
20:40:17.624  192.168.1.98:自动分配端口失败, ret = -1
20:42:40.441  192.168.1.98:自动分配端口失败, ret = -1
20:43:16.176  192.168.1.98:自动分配端口失败, ret = -1
21:09:22.988  192.168.1.98:自动分配端口失败, ret = -1
21:20:39.243  192.168.1.98:自动分配端口失败, ret = -1
21:28:34.618  192.168.1.98:自动分配端口失败, ret = -1
21:38:46.214  192.168.1.98:自动分配端口失败, ret = -1
22:40:39.628  192.168.1.98:自动分配端口失败, ret = -1
22:55:14.481  192.168.1.98:自动分配端口失败, ret = -1
22:55:55.118  192.168.1.98:自动分配端口失败, ret = -1
22:56:33.749  192.168.1.98:自动分配端口失败, ret = -1
23:00:33.996  192.168.1.98:自动分配端口失败, ret = -1
23:05:41.982  192.168.1.98:自动分配端口失败, ret = -1
